subjectID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q16,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q45,region,q1_T2,q2_T2,q3_T2,q4_T2,q5_T2,q6_T2,q7_T2,q8_T2,q9_T2,q10_T2,q16_T2,q20_T2,q21_T2,q22_T2,q23_T2,q24_T2,q25_T2,q26_T2,q27_T2,q28_T2,q29_T2,q30_T2,q31_T2,q45_T2,Employment Status,Student Status,Sex,age
sub01412,88.0,63.0,88.0,98.0,100.0,89.0,88.0,89.0,51.0,94.0,69.0,0.0,0.0,0.0,0.0,0.0,17.0,70.0,89.0,86.0,84.0,81.0,80.0,89.0,California,79.0,51.0,100.0,76.0,84.0,47.0,62.0,80.0,76.0,84.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,76.0,76.0,79.0,77.0,93.0,86.0,Part-Time,No,Female,43.0
sub00434,57.0,76.0,7.0,94.0,63.0,54.0,71.0,44.0,100.0,81.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,100.0,33.0,96.0,100.0,100.0,100.0,100.0,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,38.0
sub00178,4.0,61.0,52.0,79.0,24.0,25.0,44.0,62.0,8.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,31.0
sub01439,55.0,68.0,68.0,80.0,68.0,55.0,77.0,58.0,49.0,48.0,54.0,20.0,11.0,5.0,1.0,0.0,55.0,63.0,29.0,66.0,82.0,65.0,80.0,85.0,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,Yes,Female,32.0
sub01049,42.0,48.0,4.0,76.0,65.0,76.0,100.0,100.0,39.0,73.0,9.0,85.0,63.0,47.0,16.0,0.0,0.0,6.0,2.0,15.0,83.0,97.0,90.0,51.0,California,64.0,67.0,39.0,29.0,53.0,50.0,49.0,55.0,29.0,20.0,26.0,50.0,49.0,32.0,9.0,3.0,6.0,32.0,8.0,21.0,77.0,87.0,71.0,51.0,Full-Time,No,Male,28.0
sub00229,71.0,96.0,14.0,49.0,83.0,67.0,96.0,100.0,100.0,100.0,0.0,100.0,58.0,43.0,0.0,0.0,22.0,0.0,100.0,87.0,49.0,16.0,0.0,100.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,44.0
sub01305,80.0,40.0,2.0,63.0,64.0,66.0,63.0,65.0,91.0,71.0,3.0,62.0,29.0,7.0,0.0,0.0,0.0,0.0,9.0,5.0,63.0,0.0,62.0,100.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,25.0
sub01499,28.0,63.0,62.0,70.0,42.0,38.0,77.0,77.0,58.0,63.0,63.0,31.0,17.0,15.0,13.0,2.0,16.0,57.0,22.0,69.0,81.0,74.0,88.0,74.0,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,54.0
sub00606,80.0,2.0,11.0,43.0,97.0,100.0,87.0,100.0,100.0,47.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,100.0,100.0,100.0,100.0,100.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,35.0
sub00492,29.0,19.0,100.0,95.0,62.0,53.0,67.0,85.0,38.0,52.0,69.0,0.0,0.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,60.0,93.0,60.0,92.0,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,37.0
sub00669,56.0,25.0,16.0,44.0,67.0,80.0,76.0,89.0,79.0,74.0,28.0,72.0,50.0,19.0,1.0,0.0,6.0,69.0,25.0,64.0,85.0,77.0,69.0,62.0,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
sub01044,52.0,37.0,18.0,55.0,34.0,49.0,70.0,69.0,92.0,35.0,68.0,32.0,8.0,1.0,0.0,0.0,28.0,63.0,19.0,28.0,81.0,74.0,83.0,47.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,26.0
sub01564,37.0,23.0,42.0,76.0,75.0,31.0,36.0,40.0,49.0,86.0,0.0,67.0,49.0,37.0,3.0,0.0,0.0,1.0,0.0,10.0,77.0,31.0,8.0,78.0,California,39.0,24.0,62.0,49.0,72.0,29.0,29.0,36.0,72.0,84.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,68.0,3.0,69.0,100.0,76.0,50.0,87.0,Part-Time,No,Male,52.0
sub00267,65.0,15.0,28.0,62.0,77.0,59.0,72.0,70.0,58.0,28.0,65.0,38.0,31.0,18.0,2.0,2.0,7.0,31.0,19.0,27.0,60.0,51.0,77.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,29.0
sub00204,36.0,76.0,97.0,56.0,42.0,46.0,35.0,17.0,20.0,57.0,70.0,11.0,1.0,2.0,0.0,0.0,20.0,78.0,43.0,62.0,75.0,70.0,87.0,14.0,California,9.0,67.0,84.0,62.0,22.0,24.0,16.0,8.0,7.0,36.0,91.0,6.0,4.0,1.0,1.0,0.0,26.0,90.0,53.0,57.0,79.0,90.0,88.0,35.0,Unemployed (and job seeking),No,Male,64.0
sub00054,8.0,49.0,95.0,88.0,51.0,18.0,51.0,51.0,87.0,91.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,50.0,7.0,19.0,39.0,61.0,71.0,81.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,49.0
sub00566,77.0,22.0,51.0,93.0,98.0,78.0,75.0,69.0,66.0,41.0,41.0,69.0,35.0,13.0,0.0,0.0,3.0,57.0,91.0,100.0,100.0,94.0,98.0,100.0,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,40.0
sub00160,59.0,62.0,88.0,66.0,60.0,45.0,36.0,37.0,45.0,52.0,57.0,73.0,66.0,51.0,39.0,24.0,27.0,45.0,40.0,36.0,63.0,42.0,66.0,66.0,Utah,,,,,,,,,,,,,,,,,,,,,,,,,Unemployed (and job seeking),Yes,Female,26.0
sub00858,54.0,9.0,100.0,8.0,0.0,31.0,53.0,53.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,63.0,0.0,0.0,0.0,100.0,0.0,0.0,75.0,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,24.0
sub00426,3.0,92.0,100.0,98.0,1.0,23.0,95.0,44.0,3.0,97.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,31.0
sub00448,57.0,72.0,48.0,46.0,70.0,69.0,100.0,100.0,61.0,68.0,2.0,72.0,64.0,69.0,65.0,59.0,35.0,26.0,37.0,34.0,57.0,35.0,12.0,19.0,California,57.0,69.0,40.0,37.0,66.0,64.0,68.0,70.0,63.0,74.0,17.0,28.0,8.0,0.0,0.0,0.0,45.0,53.0,41.0,46.0,62.0,58.0,19.0,38.0,Unemployed (and job seeking),No,Male,36.0
sub00312,15.0,33.0,23.0,38.0,55.0,31.0,37.0,49.0,21.0,48.0,12.0,26.0,19.0,9.0,2.0,0.0,35.0,50.0,2.0,7.0,68.0,49.0,30.0,49.0,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,38.0
sub01590,54.0,35.0,0.0,9.0,85.0,51.0,50.0,51.0,78.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,35.0
sub01024,100.0,65.0,80.0,100.0,100.0,92.0,88.0,100.0,85.0,62.0,83.0,0.0,0.0,0.0,0.0,0.0,31.0,74.0,100.0,64.0,100.0,56.0,100.0,100.0,California,94.0,78.0,75.0,96.0,100.0,100.0,100.0,100.0,49.0,52.0,95.0,0.0,0.0,0.0,0.0,0.0,35.0,63.0,80.0,92.0,100.0,100.0,100.0,100.0,Full-Time,No,Female,49.0
sub00600,56.0,43.0,3.0,56.0,64.0,70.0,79.0,75.0,31.0,58.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,92.0,12.0,91.0,100.0,97.0,100.0,60.0,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,27.0
sub01528,1.0,35.0,7.0,26.0,2.0,5.0,8.0,19.0,44.0,52.0,2.0,94.0,95.0,91.0,93.0,93.0,1.0,0.0,1.0,59.0,0.0,27.0,3.0,55.0,California,3.0,20.0,26.0,65.0,10.0,23.0,31.0,34.0,40.0,61.0,57.0,67.0,19.0,6.0,2.0,2.0,29.0,51.0,7.0,68.0,16.0,68.0,68.0,64.0,Full-Time,No,Male,34.0
sub00485,7.0,7.0,1.0,25.0,28.0,18.0,15.0,29.0,48.0,32.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,California,48.0,0.0,0.0,23.0,58.0,52.0,54.0,38.0,53.0,52.0,0.0,74.0,49.0,50.0,49.0,46.0,0.0,18.0,0.0,0.0,0.0,57.0,0.0,11.0,Full-Time,No,Female,27.0
sub01193,4.0,71.0,0.0,51.0,48.0,57.0,81.0,71.0,100.0,100.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,California,,,,,,,,,,,,,,,,,,,,,,,,,"Not in paid work (e.g. homemaker', 'retired or disabled)",No,Female,29.0
sub00964,30.0,47.0,33.0,46.0,70.0,75.0,84.0,79.0,59.0,60.0,2.0,85.0,72.0,56.0,53.0,50.0,14.0,26.0,87.0,0.0,100.0,55.0,50.0,89.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Male,56.0
sub00179,50.0,71.0,72.0,45.0,63.0,50.0,50.0,50.0,92.0,74.0,7.0,69.0,15.0,0.0,0.0,0.0,0.0,30.0,51.0,14.0,93.0,95.0,90.0,68.0,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,54.0
sub01488,1.0,57.0,0.0,0.0,3.0,4.0,3.0,16.0,0.0,33.0,0.0,100.0,100.0,100.0,49.0,23.0,0.0,0.0,3.0,0.0,0.0,2.0,69.0,1.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Male,63.0
sub00281,11.0,42.0,28.0,22.0,38.0,94.0,75.0,54.0,74.0,55.0,3.0,95.0,96.0,98.0,100.0,93.0,3.0,2.0,2.0,7.0,65.0,3.0,7.0,39.0,California,13.0,7.0,62.0,27.0,35.0,36.0,33.0,32.0,55.0,76.0,34.0,33.0,20.0,12.0,2.0,0.0,23.0,10.0,13.0,57.0,82.0,16.0,34.0,25.0,Part-Time,No,Male,35.0
sub01022,100.0,98.0,88.0,96.0,96.0,87.0,90.0,86.0,83.0,86.0,77.0,12.0,6.0,5.0,9.0,4.0,21.0,88.0,51.0,81.0,73.0,74.0,76.0,86.0,New York,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,34.0
sub00237,11.0,35.0,12.0,5.0,35.0,45.0,45.0,42.0,54.0,43.0,9.0,57.0,47.0,40.0,30.0,20.0,0.0,6.0,3.0,5.0,66.0,33.0,14.0,61.0,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Male,32.0
sub00407,22.0,24.0,4.0,36.0,51.0,42.0,41.0,39.0,19.0,22.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,66.0,87.0,91.0,100.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,44.0
sub00580,59.0,13.0,73.0,90.0,51.0,62.0,70.0,100.0,80.0,78.0,64.0,50.0,12.0,0.0,0.0,0.0,28.0,47.0,0.0,54.0,83.0,6.0,63.0,72.0,California,76.0,50.0,100.0,100.0,64.0,79.0,86.0,92.0,93.0,91.0,79.0,3.0,0.0,0.0,0.0,0.0,36.0,70.0,72.0,97.0,90.0,90.0,98.0,74.0,Part-Time,No,Male,32.0
sub00452,50.0,96.0,69.0,89.0,84.0,98.0,100.0,96.0,98.0,75.0,89.0,4.0,2.0,0.0,0.0,0.0,3.0,94.0,94.0,98.0,38.0,25.0,90.0,94.0,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,,Male,49.0
sub00751,20.0,74.0,47.0,73.0,75.0,38.0,15.0,23.0,33.0,18.0,17.0,10.0,6.0,7.0,0.0,0.0,12.0,18.0,12.0,27.0,4.0,13.0,10.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Not in paid work (e.g. homemaker', 'retired or disabled)",No,Female,58.0
sub01012,77.0,97.0,7.0,59.0,80.0,95.0,100.0,100.0,100.0,89.0,95.0,0.0,0.0,0.0,0.0,0.0,23.0,100.0,100.0,100.0,100.0,10.0,3.0,100.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Other,No,Female,33.0
sub00544,37.0,34.0,22.0,32.0,61.0,48.0,58.0,74.0,76.0,57.0,4.0,56.0,56.0,54.0,49.0,47.0,43.0,6.0,66.0,43.0,63.0,12.0,12.0,34.0,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,Yes,Female,31.0
sub00619,73.0,68.0,33.0,53.0,94.0,87.0,100.0,100.0,100.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,100.0,74.0,15.0,100.0,94.0,51.0,7.0,Texas,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,38.0
sub00777,50.0,63.0,38.0,44.0,50.0,29.0,52.0,61.0,68.0,53.0,3.0,63.0,41.0,15.0,2.0,1.0,11.0,26.0,69.0,67.0,88.0,83.0,74.0,50.0,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,43.0
sub01460,69.0,77.0,51.0,78.0,84.0,79.0,68.0,68.0,80.0,80.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,56.0,80.0,100.0,100.0,100.0,100.0,New York,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,39.0
sub00413,18.0,21.0,43.0,35.0,25.0,26.0,19.0,24.0,69.0,34.0,0.0,100.0,100.0,100.0,22.0,4.0,0.0,0.0,0.0,68.0,4.0,0.0,0.0,87.0,Texas,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,31.0
sub00555,24.0,18.0,40.0,57.0,38.0,58.0,100.0,75.0,37.0,39.0,59.0,44.0,35.0,15.0,2.0,0.0,32.0,63.0,18.0,66.0,41.0,48.0,56.0,23.0,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,29.0
sub00812,67.0,85.0,64.0,67.0,72.0,87.0,85.0,75.0,66.0,80.0,81.0,18.0,0.0,0.0,0.0,0.0,34.0,69.0,100.0,100.0,100.0,100.0,88.0,100.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Other,Yes,Female,38.0
sub00692,84.0,31.0,42.0,91.0,70.0,89.0,89.0,86.0,93.0,84.0,69.0,23.0,4.0,1.0,1.0,0.0,25.0,30.0,75.0,84.0,84.0,82.0,80.0,80.0,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,Other,Yes,Female,
sub00928,6.0,42.0,97.0,84.0,25.0,21.0,31.0,31.0,57.0,80.0,0.0,49.0,48.0,37.0,12.0,3.0,14.0,19.0,8.0,10.0,28.0,4.0,48.0,59.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,38.0
sub01167,76.0,38.0,0.0,1.0,78.0,41.0,81.0,82.0,42.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,96.0,65.0,100.0,98.0,Washington,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,61.0
sub00429,56.0,86.0,100.0,70.0,54.0,57.0,84.0,68.0,50.0,89.0,78.0,49.0,32.0,11.0,0.0,0.0,48.0,50.0,52.0,69.0,88.0,100.0,100.0,51.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Male,32.0
sub00302,17.0,15.0,50.0,62.0,50.0,50.0,56.0,57.0,83.0,18.0,34.0,88.0,63.0,39.0,11.0,2.0,28.0,3.0,71.0,57.0,91.0,52.0,29.0,78.0,California,50.0,17.0,53.0,57.0,50.0,50.0,50.0,50.0,77.0,31.0,10.0,86.0,39.0,19.0,0.0,0.0,7.0,26.0,100.0,94.0,100.0,71.0,11.0,76.0,Full-Time,Yes,Male,30.0
sub00581,28.0,10.0,0.0,65.0,80.0,68.0,86.0,33.0,97.0,56.0,1.0,100.0,100.0,94.0,97.0,89.0,37.0,1.0,0.0,18.0,90.0,5.0,0.0,100.0,California,35.0,28.0,38.0,80.0,77.0,73.0,62.0,48.0,32.0,69.0,10.0,79.0,50.0,22.0,14.0,5.0,10.0,81.0,0.0,85.0,50.0,100.0,100.0,94.0,Full-Time,No,Female,23.0
sub00480,5.0,6.0,7.0,39.0,36.0,18.0,21.0,8.0,85.0,40.0,36.0,62.0,53.0,34.0,11.0,3.0,3.0,14.0,48.0,17.0,26.0,30.0,38.0,78.0,California,5.0,50.0,50.0,44.0,21.0,22.0,18.0,31.0,73.0,53.0,40.0,27.0,12.0,3.0,3.0,2.0,5.0,34.0,47.0,62.0,86.0,89.0,60.0,49.0,Full-Time,No,Male,37.0
sub00183,51.0,100.0,100.0,100.0,53.0,53.0,73.0,78.0,100.0,78.0,25.0,16.0,5.0,0.0,0.0,0.0,0.0,82.0,54.0,52.0,100.0,100.0,100.0,100.0,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,53.0
sub00986,58.0,34.0,20.0,16.0,74.0,58.0,58.0,59.0,81.0,49.0,6.0,14.0,3.0,0.0,0.0,0.0,0.0,27.0,56.0,60.0,71.0,62.0,54.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Not in paid work (e.g. homemaker', 'retired or disabled)",No,Female,56.0
sub01580,58.0,48.0,10.0,51.0,81.0,96.0,100.0,100.0,75.0,77.0,63.0,55.0,50.0,54.0,3.0,5.0,15.0,83.0,89.0,90.0,98.0,52.0,85.0,97.0,California,81.0,25.0,50.0,65.0,100.0,100.0,100.0,100.0,48.0,65.0,96.0,12.0,0.0,0.0,0.0,0.0,47.0,95.0,80.0,94.0,100.0,100.0,100.0,85.0,Full-Time,No,Female,55.0
sub00737,1.0,2.0,5.0,2.0,1.0,0.0,6.0,24.0,48.0,3.0,0.0,76.0,51.0,31.0,13.0,7.0,32.0,17.0,3.0,5.0,91.0,0.0,1.0,23.0,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,34.0
sub01101,87.0,10.0,71.0,82.0,82.0,91.0,92.0,86.0,100.0,98.0,66.0,98.0,49.0,0.0,0.0,0.0,6.0,6.0,50.0,0.0,100.0,50.0,100.0,100.0,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,Yes,Female,23.0
sub01248,49.0,27.0,5.0,61.0,50.0,51.0,57.0,59.0,84.0,64.0,2.0,88.0,95.0,94.0,93.0,94.0,23.0,5.0,9.0,4.0,77.0,9.0,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,30.0
sub00154,0.0,0.0,5.0,32.0,0.0,0.0,0.0,0.0,85.0,61.0,93.0,52.0,51.0,36.0,15.0,0.0,20.0,5.0,24.0,19.0,100.0,54.0,20.0,28.0,Florida,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,43.0
sub00558,82.0,52.0,57.0,82.0,100.0,57.0,52.0,51.0,60.0,51.0,60.0,63.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,80.0,100.0,74.0,90.0,100.0,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,No,Female,57.0
sub00093,47.0,59.0,78.0,81.0,46.0,74.0,58.0,69.0,72.0,68.0,67.0,66.0,45.0,13.0,0.0,0.0,59.0,54.0,58.0,60.0,59.0,60.0,59.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,Yes,Male,35.0
sub00598,15.0,54.0,100.0,51.0,28.0,22.0,38.0,49.0,71.0,61.0,34.0,59.0,51.0,36.0,2.0,0.0,0.0,3.0,12.0,72.0,73.0,41.0,5.0,22.0,California,53.0,66.0,100.0,56.0,58.0,57.0,49.0,64.0,73.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,77.0,89.0,100.0,100.0,100.0,100.0,15.0,Part-Time,No,Female,73.0
sub00871,50.0,36.0,75.0,94.0,52.0,75.0,80.0,85.0,50.0,51.0,84.0,11.0,0.0,0.0,0.0,0.0,0.0,96.0,25.0,76.0,93.0,100.0,100.0,100.0,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,32.0
sub00967,79.0,33.0,24.0,100.0,100.0,89.0,100.0,100.0,85.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,Yes,Female,41.0
sub01015,79.0,33.0,15.0,35.0,83.0,96.0,82.0,84.0,13.0,30.0,12.0,42.0,27.0,18.0,9.0,2.0,23.0,14.0,38.0,7.0,70.0,25.0,60.0,84.0,California,79.0,23.0,26.0,71.0,81.0,88.0,82.0,87.0,10.0,31.0,91.0,29.0,7.0,0.0,0.0,0.0,66.0,80.0,32.0,66.0,76.0,94.0,90.0,100.0,Full-Time,No,Male,32.0
sub01348,67.0,56.0,60.0,91.0,100.0,77.0,74.0,75.0,100.0,67.0,74.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,23.0,100.0,100.0,100.0,100.0,100.0,Utah,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Female,34.0
sub00316,2.0,97.0,10.0,5.0,5.0,4.0,48.0,23.0,71.0,77.0,0.0,87.0,85.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,Texas,,,,,,,,,,,,,,,,,,,,,,,,,"Not in paid work (e.g. homemaker', 'retired or disabled)",No,Female,69.0
sub00040,41.0,73.0,90.0,92.0,76.0,77.0,82.0,82.0,73.0,83.0,89.0,33.0,17.0,3.0,0.0,0.0,13.0,81.0,36.0,82.0,96.0,69.0,100.0,80.0,Washington,,,,,,,,,,,,,,,,,,,,,,,,,Full-Time,No,Male,30.0
sub01480,66.0,20.0,18.0,75.0,73.0,49.0,72.0,70.0,96.0,87.0,74.0,8.0,0.0,0.0,0.0,0.0,52.0,83.0,50.0,77.0,77.0,35.0,6.0,81.0,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,Other,Yes,Female,22.0
sub00741,41.0,72.0,74.0,50.0,70.0,53.0,49.0,70.0,76.0,77.0,64.0,71.0,50.0,26.0,9.0,0.0,20.0,52.0,76.0,65.0,29.0,82.0,46.0,72.0,California,61.0,70.0,57.0,43.0,45.0,52.0,68.0,61.0,51.0,58.0,46.0,23.0,4.0,1.0,0.0,0.0,8.0,90.0,91.0,88.0,98.0,82.0,100.0,84.0,Full-Time,No,Female,51.0
sub00512,60.0,66.0,0.0,62.0,69.0,30.0,29.0,37.0,78.0,36.0,49.0,0.0,0.0,0.0,0.0,0.0,3.0,88.0,6.0,92.0,100.0,100.0,100.0,78.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,Yes,Female,31.0
